"state","county","tract","Median_Age","Single_Parent_HH","Female_Led_HH","Married_HH","School_Children","Disabled_Children","Transport_ReliantNoCar_HH","Transport_ReliantYesCar_HH","Computer_None_HH","Computer_Smartphone_HH","Internet_None_HH","Internet_Slow_HH","Citizenship","Renter_HH","Housing_Burdened_HH","Public_Assist_HH","Part_Time","Insurance_None","Employment_Insurance","Poverty_HH","Ed_NoHS","Ed_NoBA","Single_Earner_HH","Housing_Quality"
"06","059","075813",46.9,0.067629179331307,0.102747909199522,0.500582343349639,0.0586930213795885,0.0434310532030402,0,0.0127467105263158,0.019115890083632,0.0137395459976105,0.0256869772998805,0.0471923536439665,0.0536033353186421,0.161290322580645,0.341880341880342,0.046594982078853,0.253650396328744,0.0325590629342863,0.557356864354607,0.0395136778115502,0.0858710562414266,0.53278463648834,0.359422492401216,0.340425531914894
"06","059","075814",46.5,0.0678787878787879,0.0627928772258669,0.624229979466119,0.0809289232934553,0.0354131534569983,0,0.0047361299052774,0.0271790065604499,0.0234301780693533,0.0290534208059981,0.0384254920337395,0.0184931506849315,0.171508903467666,0.288461538461538,0.0084348641049672,0.347943358057991,0.0232876712328767,0.58695652173913,0.04,0.079646017699115,0.407545412203074,0.28969696969697,0.341463414634146
"06","059","075815",32.7,0.133582089552239,0.129582806573957,0.494402149574563,0.100924353895491,0.0289855072463768,0,0.0225967062428188,0.0347661188369153,0.015802781289507,0.0657395701643489,0.0929203539823009,0.159033989266547,0.356510745891277,0.25049115913556,0.130847029077118,0.357142857142857,0.0737030411449016,0.58149864812669,0.0850746268656716,0.132533645406671,0.741369221767115,0.367164179104478,0.397350993377483
"06","059","075816",33.9,0.183765501691094,0.248756218905473,0.42357753811826,0.107775871926815,0.0178069353327085,0.0105030403537866,0.0243228302929795,0.0373134328358209,0.0497512437810945,0.0580431177446103,0.0580431177446103,0.10179806362379,0.521558872305141,0.292894280762565,0.0729684908789386,0.282485875706215,0.107769423558897,0.553370786516854,0.122886133032694,0.205479452054795,0.629280821917808,0.406989853438557,0.40084388185654
"06","059","075901",30.7,0.185044359949303,0.14612188365651,0.285377358490566,0.0708289611752361,0,0.00764732343679712,0.00719748088169141,0.082409972299169,0.0193905817174515,0.104570637119114,0.114265927977839,0.0975424372941475,0.704986149584488,0.380281690140845,0.0138504155124654,0.29043329043329,0.135039270331898,0.616871704745167,0.120405576679341,0.169303797468354,0.655063291139241,0.344740177439797,0.486577181208054
"06","059","075902",33.3,0.253874538745387,0.118017018128006,0.320735268854149,0.050478941766763,0,0,0.00710025560920193,0.127635960044395,0,0.126526082130966,0.155382907880133,0.0442426018165836,0.743248242693304,0.342939481268012,0.0754716981132075,0.395028370710619,0.0641420813151328,0.538739021329987,0.0819188191881919,0.0889924545051043,0.657789613848202,0.379335793357934,0.431226765799257
"06","059","076000",33.6,0.20261780104712,0.120493358633776,0.372074253430186,0.0850939652153613,0.0243145369891361,0,0.0172844648063307,0.0575585072738773,0.0164452877925364,0.0616698292220114,0.0857052498418722,0.119803308001788,0.57685009487666,0.420029895366218,0.0512333965844402,0.227732592739536,0.0754652357575066,0.611509014571499,0.119371727748691,0.106679636835279,0.65272373540856,0.300523560209424,0.550793650793651
"06","059","076101",32.3,0.119638826185102,0.111200644641418,0.370379118932326,0.0790324262329267,0.0562422744128554,0.0072007200720072,0.0027002700270027,0.0480795057749127,0.0147730325006715,0.0838033843674456,0.105560032232071,0.117528271405493,0.746441042170293,0.314618644067797,0.0435132957292506,0.312134754211069,0.0804725363489499,0.643680685187219,0.11196388261851,0.112393162393162,0.596011396011396,0.323702031602709,0.483687943262411
"06","059","076102",32.6,0.155291790306627,0.11453488372093,0.208131655372701,0.0548591287079558,0,0.00425350914504466,0.0204168438962144,0.153488372093023,0.0598837209302326,0.155813953488372,0.16453488372093,0.1695636319436,0.869767441860465,0.28125,0.10406976744186,0.301838392475417,0.147495755517827,0.525516554642768,0.128585558852621,0.249870039854445,0.808871945936579,0.313550939663699,0.490566037735849
"06","059","076103",31.3,0.14543630892678,0.159055118110236,0.38698769105911,0.102489995553579,0,0.0121317157712305,0.00823223570190641,0.0559055118110236,0.159055118110236,0.144488188976378,0.243700787401575,0.204273058884836,0.668503937007874,0.307600950118765,0.139763779527559,0.349243554229704,0.121699196326062,0.507783719548425,0.143931795386158,0.30974047859791,0.846140883046849,0.311434302908726,0.512
"06","059","076201",35.4,0.0974282888229476,0.132610508757298,0.503921882503602,0.108126349892009,0.0384810126582278,0,0.00963798777621063,0.0271059216013344,0.0279399499582986,0.0312760633861551,0.100917431192661,0.0985290388029419,0.35070892410342,0.250481695568401,0.0583819849874896,0.324881141045959,0.0389461626575029,0.608661104489472,0.0356083086053412,0.0795010240178738,0.594302736920499,0.242334322453017,0.319654427645788
"06","059","076202",33.5,0.119383825417202,0.12321063394683,0.532223644899701,0.0949207492795389,0.0354767184035477,0,0.0105715229600264,0.0506134969325153,0.0761758691206544,0.0613496932515337,0.0756646216768916,0.116418421503167,0.40439672801636,0.278111587982833,0.0853783231083845,0.32588161209068,0.078753638075672,0.65173759524252,0.0654685494223363,0.126220886551465,0.642123716503882,0.273427471116816,0.453333333333333
"06","059","076204",29.8,0.303589743589744,0.203152364273205,0.409751665657177,0.14010105649977,0.0489417989417989,0,0.0148870636550308,0.0551663747810858,0.0936952714535902,0.115586690017513,0.140105078809107,0.319785618579723,0.697898423817863,0.23768115942029,0.227670753064799,0.411538461538462,0.177090338489128,0.368292018523563,0.247179487179487,0.448262085497403,0.848581701957651,0.38974358974359,0.62280701754386
"06","059","076205",21.9,0.0840840840840841,0.0750323415265201,0.258098538496309,0.0420027816411683,0.0122767857142857,0,0,0.0620957309184994,0.0381630012936611,0.0698576972833118,0.0698576972833118,0.0962653363893758,0.425614489003881,0.381756756756757,0.0808538163001294,0.550576871478401,0.0308750168531751,0.574986087924318,0.016016016016016,0.135794934391211,0.675007628928898,0.251251251251251,0.512658227848101
"06","059","076206",40.4,0.139017608897127,0.144805194805195,0.416882444329363,0.0586843350686228,0.00998573466476462,0,0.0342042755344418,0.0545454545454545,0.0116883116883117,0.0727272727272727,0.0902597402597403,0.111514876220759,0.333766233766234,0.323586744639376,0.0474025974025974,0.336115992970123,0.100888180368936,0.553444782168186,0.0574606116774791,0.156626506024096,0.657894736842105,0.266913809082484,0.471153846153846
