"","county","tract","problems_estimate","problems_rank"
"1","001",400100,0.313953488372093,11.8830264583011
"2","001",400200,0.153374233128834,0.139254216308216
"3","001",400300,0.293032786885246,8.03032647377379
"4","001",400400,0.344444444444444,18.9540461086183
"5","001",400500,0.370820668693009,26.3035741915519
"6","001",400600,0.412587412587413,38.9138171127959
"7","001",400700,0.507002801120448,64.4592294600031
"8","001",400800,0.430379746835443,44.3602042395173
"9","001",400900,0.502439024390244,63.2059415132291
"10","001",401000,0.494274809160305,61.7050905152406
"11","001",401100,0.403940886699507,36.407241219248
"12","001",401200,0.296747967479675,8.68017948321213
"13","001",401300,0.466275659824047,54.2317809066997
"14","001",401400,0.637540453074434,86.4768683274021
"15","001",401500,0.536585365853659,70.6483057403682
"16","001",401600,0.653846153846154,88.3490639022126
"17","001",401700,0.516260162601626,66.6408788488318
"18","001",401800,0.493150684931507,61.5039455361287
"19","001",402200,0.577380952380952,78.2453968745165
"20","001",402400,0.456521739130435,51.7252050131518
"21","001",402500,0.453900709219858,51.0753520037134
"22","001",402600,0.519083969465649,67.0895868791583
"23","001",402700,0.367647058823529,25.3752127494971
"24","001",402800,0.531590413943355,69.627108154108
"25","001",402900,0.530994152046784,69.4878539377998
"26","001",403000,0.571428571428571,77.270617360359
"27","001",403100,0.492957746478873,61.457527464026
"28","001",403300,0.56712962962963,76.3886739904069
"29","001",403400,0.453551912568306,50.9670431688071
"30","001",403501,0.518375241779497,66.9812780442519
"31","001",403502,0.405982905982906,37.0106761565836
"32","001",403600,0.337944664031621,17.4222497292279
"33","001",403701,0.364985163204748,24.694414358657
"34","001",403702,0.315555555555556,12.2234256537212
"35","001",403800,0.378453038674033,28.4542781989788
"36","001",403900,0.425389755011136,42.7510444066223
"37","001",404000,0.303030303030303,9.74779514157512
"38","001",404101,0.407738095238095,37.5831657125174
"39","001",404102,0.336633663366337,17.1282686059106
"40","001",404200,0.202334630350195,0.711743772241993
"41","001",404300,0.248,2.75413894476249
"42","001",404400,0.259179265658747,3.75986384032183
"43","001",404501,0.25,2.8779204703698
"44","001",404502,0.307692307692308,10.6916292743308
"45","001",404600,0.272727272727273,5.35355098251586
"46","001",404700,0.207547169811321,0.80457991644747
"47","001",404800,0.42570281124498,42.8593532415287
"48","001",404900,0.316195372750643,12.4090979421321
"49","001",405000,0.23728813559322,2.19712207952963
"50","001",405100,0.194888178913738,0.526071483831038
"51","001",405200,0.341004184100418,18.1494661921708
"52","001",405301,0.429042904290429,43.8496054463871
"53","001",405302,0.546979865771812,72.7061736035897
"54","001",405401,0.59214501510574,80.4425189540461
"55","001",405402,0.632034632034632,85.9198514621693
"56","001",405500,0.510835913312694,65.3257001392542
"57","001",405600,0.471631205673759,55.5779049976791
"58","001",405700,0.543795620437956,72.0717932848522
"59","001",405800,0.575757575757576,77.9359430604982
"60","001",405901,0.739336492890995,96.2401361596782
"61","001",405902,0.688524590163934,92.3410181030481
"62","001",406000,0.572413793103448,77.4253442673681
"63","001",406100,0.535117056856187,70.2924338542472
"64","001",406201,0.703703703703704,93.7026148847284
"65","001",406202,0.685823754789272,92.1244004332353
"66","001",406300,0.54356846473029,72.0408479034504
"67","001",406400,0.538461538461538,70.9732322450874
"68","001",406500,0.650990099009901,87.9622466346898
"69","001",406601,0.523809523809524,67.9715302491103
"70","001",406602,0.614583333333333,83.5834751663314
"71","001",406700,0.387323943661972,31.5023982670586
"72","001",406800,0.39051094890511,32.2760328021043
"73","001",406900,0.42483660130719,42.5344267368095
"74","001",407000,0.549872122762148,73.3250812316262
"75","001",407101,0.42156862745098,41.7762648924648
"76","001",407102,0.468992248062016,54.8661612254371
"77","001",407200,0.672222222222222,90.5152406003404
"78","001",407300,0.704697986577181,93.7490329568312
"79","001",407400,0.572052401746725,77.3479808138635
"80","001",407500,0.66015625,89.0917530558564
"81","001",407600,0.512585812356979,65.8053535509825
"82","001",407700,0.434650455927052,45.6908556397958
"83","001",407800,0.401315789473684,35.7573882098097
"84","001",407900,0.381165919282511,29.3516942596317
"85","001",408000,0.268041237113402,4.78106142658208
"86","001",408100,0.340225563909774,17.932848522358
"87","001",408200,0.521994134897361,67.491876837382
"88","001",408300,0.434659090909091,45.7063283304967
"89","001",408400,0.728110599078341,95.4665016246325
"90","001",408500,0.665634674922601,89.8499149002011
"91","001",408600,0.720994475138122,95.0796843571097
"92","001",408700,0.655913978494624,88.5966269534272
"93","001",408800,0.664102564102564,89.7106606838929
"94","001",408900,0.656084656084656,88.627572334829
"95","001",409000,0.514423076923077,66.2076435092062
"96","001",409100,0.598425196850394,81.2780442518954
"97","001",409200,0.6,81.52560730311
"98","001",409300,0.646302250803859,87.5135386043633
"99","001",409400,0.678861788617886,91.304347826087
"100","001",409500,0.681614349775785,91.644747021507
"101","001",409600,0.659420289855073,88.9524988395482
"102","001",409700,0.636065573770492,86.322141420393
"103","001",409800,0.51792828685259,66.9039145907473
"104","001",409900,0.393501805054152,33.2662850069627
"105","001",410000,0.380753138075314,29.2588581154263
"106","001",410100,0.484848484848485,59.15209654959
"107","001",410200,0.558951965065502,74.9806591366239
"108","001",410300,0.634920634920635,86.2138325854866
"109","001",410400,0.516129032258065,66.6254061581309
"110","001",410500,0.479166666666667,57.5738820980969
"111","001",420100,0.32183908045977,13.7552220331116
"112","001",420200,0.419354838709677,40.9562122853164
"113","001",420300,0.434782608695652,45.7218010211976
"114","001",420400,0.71063829787234,94.2441590592604
"115","001",420500,0.443850267379679,48.1974315333436
"116","001",420600,0.319672131147541,13.2910413120842
